timestamp_utc,epoch_s,humidity_percent,temperature_c
2026-04-02T00:20:18.751720+00:00,1775089218.752,55,22.2
2026-04-02T00:20:20.010772+00:00,1775089220.011,55,22.2
2026-04-02T00:20:21.014666+00:00,1775089221.015,55,22.2
2026-04-02T00:20:22.270998+00:00,1775089222.271,55,22.2
2026-04-02T00:20:23.273964+00:00,1775089223.274,54,22.3
2026-04-02T00:20:24.528580+00:00,1775089224.529,54,22.3
2026-04-02T00:20:25.532558+00:00,1775089225.533,54,22.5
2026-04-02T00:20:26.788379+00:00,1775089226.788,54,22.5
2026-04-02T00:20:27.792408+00:00,1775089227.792,54,22.6
2026-04-02T00:20:29.048566+00:00,1775089229.049,54,22.6
2026-04-02T00:20:30.052696+00:00,1775089230.053,54,22.8
2026-04-02T00:20:31.310050+00:00,1775089231.310,54,22.8
2026-04-02T00:20:32.314163+00:00,1775089232.314,54,22.8
2026-04-02T00:20:33.571617+00:00,1775089233.572,54,22.8
2026-04-02T00:20:34.576674+00:00,1775089234.577,54,22.8
2026-04-02T00:20:35.833503+00:00,1775089235.834,54,22.8
2026-04-02T00:20:36.838303+00:00,1775089236.838,54,22.8
2026-04-02T00:20:38.094545+00:00,1775089238.095,54,22.8
2026-04-02T00:20:39.098256+00:00,1775089239.098,54,22.8
2026-04-02T00:20:40.353904+00:00,1775089240.354,54,22.8
2026-04-02T00:20:41.357783+00:00,1775089241.358,54,22.8
2026-04-02T00:20:42.614230+00:00,1775089242.614,54,22.8
2026-04-02T00:20:43.618275+00:00,1775089243.618,54,22.8
2026-04-02T00:20:44.874092+00:00,1775089244.874,54,22.8
2026-04-02T00:20:45.878113+00:00,1775089245.878,54,22.8
2026-04-02T00:20:47.134279+00:00,1775089247.134,54,22.8
2026-04-02T00:20:48.138136+00:00,1775089248.138,54,22.8
2026-04-02T00:20:49.395301+00:00,1775089249.395,54,22.8
2026-04-02T00:20:50.399311+00:00,1775089250.399,54,22.8
2026-04-02T00:20:51.657777+00:00,1775089251.658,54,22.8
2026-04-02T00:20:52.661520+00:00,1775089252.662,54,22.8
2026-04-02T00:20:53.917977+00:00,1775089253.918,54,22.8
2026-04-02T00:20:54.924322+00:00,1775089254.924,54,22.8
2026-04-02T00:20:56.181094+00:00,1775089256.181,54,22.8
2026-04-02T00:20:57.185566+00:00,1775089257.186,54,22.8
2026-04-02T00:20:58.441862+00:00,1775089258.442,54,22.8
2026-04-02T00:20:59.445576+00:00,1775089259.446,54,22.8
2026-04-02T00:21:00.701286+00:00,1775089260.701,54,22.8
2026-04-02T00:21:01.705046+00:00,1775089261.705,54,22.9
2026-04-02T00:21:02.961299+00:00,1775089262.961,54,22.9
2026-04-02T00:21:03.965321+00:00,1775089263.965,54,22.9
2026-04-02T00:21:05.221371+00:00,1775089265.221,54,22.9
2026-04-02T00:21:06.225408+00:00,1775089266.225,54,22.9
2026-04-02T00:21:07.481495+00:00,1775089267.482,54,22.9
2026-04-02T00:21:08.485608+00:00,1775089268.486,54,22.9
2026-04-02T00:21:09.742925+00:00,1775089269.743,54,22.9
2026-04-02T00:21:10.747238+00:00,1775089270.747,54,22.9
2026-04-02T00:21:12.004609+00:00,1775089272.005,54,22.9
2026-04-02T00:21:13.009716+00:00,1775089273.010,53,22.9
2026-04-02T00:21:14.266637+00:00,1775089274.267,53,22.9
2026-04-02T00:21:15.271060+00:00,1775089275.271,53,22.9
2026-04-02T00:21:16.527376+00:00,1775089276.527,53,22.9
2026-04-02T00:21:17.531192+00:00,1775089277.531,53,22.9
2026-04-02T00:21:18.792059+00:00,1775089278.792,53,22.9
2026-04-02T00:21:19.795822+00:00,1775089279.796,53,22.9
2026-04-02T00:21:21.052083+00:00,1775089281.052,53,22.9
2026-04-02T00:21:22.056007+00:00,1775089282.056,53,23.0
2026-04-02T00:21:23.312067+00:00,1775089283.312,53,23.0
2026-04-02T00:21:24.316158+00:00,1775089284.316,53,23.0
2026-04-02T00:21:25.572698+00:00,1775089285.573,53,23.0
2026-04-02T00:21:26.576897+00:00,1775089286.577,53,23.0
2026-04-02T00:21:27.834378+00:00,1775089287.834,53,23.0
2026-04-02T00:21:28.839435+00:00,1775089288.839,53,23.0
2026-04-02T00:21:30.096779+00:00,1775089290.097,53,23.0
2026-04-02T00:21:31.102030+00:00,1775089291.102,53,23.0
2026-04-02T00:21:32.357922+00:00,1775089292.358,53,23.0
2026-04-02T00:21:33.361882+00:00,1775089293.362,53,23.0
2026-04-02T00:21:34.617895+00:00,1775089294.618,53,23.0
2026-04-02T00:21:35.621149+00:00,1775089295.621,53,23.0
2026-04-02T00:21:36.876232+00:00,1775089296.876,53,23.0
2026-04-02T00:21:37.880329+00:00,1775089297.880,53,23.0
2026-04-02T00:21:39.137587+00:00,1775089299.138,53,23.0
2026-04-02T00:21:40.141705+00:00,1775089300.142,53,23.0
2026-04-02T00:21:41.396212+00:00,1775089301.396,53,23.0
2026-04-02T00:21:42.399841+00:00,1775089302.400,53,23.0
2026-04-02T00:21:43.655407+00:00,1775089303.655,53,23.0
2026-04-02T00:21:44.660202+00:00,1775089304.660,53,23.0
2026-04-02T00:21:45.915878+00:00,1775089305.916,53,23.0
2026-04-02T00:21:46.921917+00:00,1775089306.922,53,23.0
2026-04-02T00:21:48.179250+00:00,1775089308.179,53,23.0
2026-04-02T00:21:49.184445+00:00,1775089309.184,53,23.0
2026-04-02T00:21:50.441214+00:00,1775089310.441,53,23.0
2026-04-02T00:21:51.445759+00:00,1775089311.446,53,23.0
2026-04-02T00:21:52.701147+00:00,1775089312.701,53,23.0
2026-04-02T00:21:53.705258+00:00,1775089313.705,53,23.0
2026-04-02T00:21:54.960813+00:00,1775089314.961,53,23.0
2026-04-02T00:21:55.965514+00:00,1775089315.966,53,23.0
2026-04-02T00:21:57.221061+00:00,1775089317.221,53,23.0
2026-04-02T00:21:58.224423+00:00,1775089318.224,53,23.0
2026-04-02T00:21:59.479547+00:00,1775089319.480,53,23.0
2026-04-02T00:22:00.483376+00:00,1775089320.483,53,23.0
2026-04-02T00:22:01.739202+00:00,1775089321.739,53,23.0
2026-04-02T00:22:02.743455+00:00,1775089322.743,53,23.0
2026-04-02T00:22:03.999809+00:00,1775089324.000,53,23.0
2026-04-02T00:22:05.005502+00:00,1775089325.006,53,23.0
2026-04-02T00:22:06.261157+00:00,1775089326.261,53,23.0
2026-04-02T00:22:07.266970+00:00,1775089327.267,53,23.0
2026-04-02T00:22:08.523935+00:00,1775089328.524,53,23.0
